Role,Department/Class,Name,Username/Email,Alternative ID,Password
Parent,1st BCA (Ward: 26BCA012),Mr. Jayakumar,jayakumar.26bca012@gmail.com,Parent-26BCA012,Parent@26BCA012
Student,1st BCA,H. Praveen,praveen.26bca013@college.edu,26BCA013,Pass@26BCA013
Parent,1st BCA (Ward: 26BCA013),Mr. Palanivel,palanivel.26bca013@gmail.com,Parent-26BCA013,Parent@26BCA013
Student,1st BCA,Y. Ramya,ramya.26bca014@college.edu,26BCA014,Pass@26BCA014
Parent,1st BCA (Ward: 26BCA014),Mr. Rajendran,rajendran.26bca014@gmail.com,Parent-26BCA014,Parent@26BCA014
Student,1st BCA,K. Chandru,chandru.26bca015@college.edu,26BCA015,Pass@26BCA015
Parent,1st BCA (Ward: 26BCA015),Mr. Chandrasekhar,chandrasekhar.26bca015@gmail.com,Parent-26BCA015,Parent@26BCA015
Student,1st BCA,S. Kaviya,kaviya.26bca016@college.edu,26BCA016,Pass@26BCA016
Parent,1st BCA (Ward: 26BCA016),Mr. Krishnan,krishnan.26bca016@gmail.com,Parent-26BCA016,Parent@26BCA016
Student,1st BCA,M. Deepak,deepak.26bca017@college.edu,26BCA017,Pass@26BCA017
Parent,1st BCA (Ward: 26BCA017),Mr. Devarajan,devarajan.26bca017@gmail.com,Parent-26BCA017,Parent@26BCA017
Student,1st BCA,R. Vaishnavi,vaishnavi.26bca018@college.edu,26BCA018,Pass@26BCA018
Parent,1st BCA (Ward: 26BCA018),Mr. Venkatesan,venkatesan.26bca018@gmail.com,Parent-26BCA018,Parent@26BCA018
Student,1st BCA,G. Balaji,balaji.26bca019@college.edu,26BCA019,Pass@26BCA019
Parent,1st BCA (Ward: 26BCA019),Mr. Baskar,baskar.26bca019@gmail.com,Parent-26BCA019,Parent@26BCA019
Student,1st BCA,T. Menaka,menaka.26bca020@college.edu,26BCA020,Pass@26BCA020
Parent,1st BCA (Ward: 26BCA020),Mr. Murugesan,murugesan.26bca020@gmail.com,Parent-26BCA020,Parent@26BCA020
Student,1st BCA,N. Rajesh,rajesh.26bca021@college.edu,26BCA021,Pass@26BCA021
Parent,1st BCA (Ward: 26BCA021),Mr. Ramasamy,ramasamy.26bca021@gmail.com,Parent-26BCA021,Parent@26BCA021
Student,1st BCA,B. Roshini,roshini.26bca022@college.edu,26BCA022,Pass@26BCA022
Parent,1st BCA (Ward: 26BCA022),Mr. Ranganathan,ranganathan.26bca022@gmail.com,Parent-26BCA022,Parent@26BCA022
Student,1st BCA,A. Suresh,suresh.26bca023@college.edu,26BCA023,Pass@26BCA023
Parent,1st BCA (Ward: 26BCA023),Mr. Subbarayan,subbarayan.26bca023@gmail.com,Parent-26BCA023,Parent@26BCA023
Student,1st BCA,V. Bhuvaneshwari,bhuvaneshwari.26bca024@college.edu,26BCA024,Pass@26BCA024
Parent,1st BCA (Ward: 26BCA024),Mr. Boopalan,boopalan.26bca024@gmail.com,Parent-26BCA024,Parent@26BCA024
Student,1st BCA,P. Kishore,kishore.26bca025@college.edu,26BCA025,Pass@26BCA025
Parent,1st BCA (Ward: 26BCA025),Mr. Kandasamy,kandasamy.26bca025@gmail.com,Parent-26BCA025,Parent@26BCA025
Student,1st BCA,J. Preethi,preethi.26bca026@college.edu,26BCA026,Pass@26BCA026
Parent,1st BCA (Ward: 26BCA026),Mr. Pandian,pandian.26bca026@gmail.com,Parent-26BCA026,Parent@26BCA026
Student,1st BCA,C. Ajay,ajay.26bca027@college.edu,26BCA027,Pass@26BCA027
Parent,1st BCA (Ward: 26BCA027),Mr. Aruldas,aruldas.26bca027@gmail.com,Parent-26BCA027,Parent@26BCA027
Student,1st BCA,E. Archana,archana.26bca028@college.edu,26BCA028,Pass@26BCA028
Parent,1st BCA (Ward: 26BCA028),Mr. Alagappan,alagappan.26bca028@gmail.com,Parent-26BCA028,Parent@26BCA028
Student,1st BCA,D. Rahul,rahul.26bca029@college.edu,26BCA029,Pass@26BCA029
Parent,1st BCA (Ward: 26BCA029),Mr. Ravi Shankar,ravi.26bca029@gmail.com,Parent-26BCA029,Parent@26BCA029
Student,1st BCA,L. Shalini,shalini.26bca030@college.edu,26BCA030,Pass@26BCA030
Parent,1st BCA (Ward: 26BCA030),Mr. Selvaraj,selvaraj.26bca030@gmail.com,Parent-26BCA030,Parent@26BCA030
Student,2nd BCA,T. Ragav,ragav.25bca001@college.edu,25BCA001,Pass@25BCA001
Parent,2nd BCA (Ward: 25BCA001),Mr. Vasudevan,vasudevan.25bca001@gmail.com,Parent-25BCA001,Parent@25BCA001
Student,2nd BCA,N. Sandhya,sandhya.25bca002@college.edu,25BCA002,Pass@25BCA002
Parent,2nd BCA (Ward: 25BCA002),Mr. Nagarajan,nagarajan.25bca002@gmail.com,Parent-25BCA002,Parent@25BCA002
Student,2nd BCA,B. Mukesh,mukesh.25bca003@college.edu,25BCA003,Pass@25BCA003
Parent,2nd BCA (Ward: 25BCA003),Mr. Thirumalai,thirumalai.25bca003@gmail.com,Parent-25BCA003,Parent@25BCA003
Student,2nd BCA,A. Yamuna,yamuna.25bca004@college.edu,25BCA004,Pass@25BCA004
Parent,2nd BCA (Ward: 25BCA004),Mr. Mohan,mohan.25bca004@gmail.com,Parent-25BCA004,Parent@25BCA004
Student,2nd BCA,V. Aravind,aravind.25bca005@college.edu,25BCA005,Pass@25BCA005
Parent,2nd BCA (Ward: 25BCA005),Mr. Govindaraj,govindaraj.25bca005@gmail.com,Parent-25BCA005,Parent@25BCA005
Student,2nd BCA,P. Janani,janani.25bca006@college.edu,25BCA006,Pass@25BCA006
Parent,2nd BCA (Ward: 25BCA006),Mr. Jayakumar,jayakumar.25bca006@gmail.com,Parent-25BCA006,Parent@25BCA006
Student,2nd BCA,J. Praveen,praveen.25bca007@college.edu,25BCA007,Pass@25BCA007
Parent,2nd BCA (Ward: 25BCA007),Mr. Palanivel,palanivel.25bca007@gmail.com,Parent-25BCA007,Parent@25BCA007
Student,2nd BCA,C. Ramya,ramya.25bca008@college.edu,25BCA008,Pass@25BCA008
Parent,2nd BCA (Ward: 25BCA008),Mr. Rajendran,rajendran.25bca008@gmail.com,Parent-25BCA008,Parent@25BCA008
Student,2nd BCA,E. Chandru,chandru.25bca009@college.edu,25BCA009,Pass@25BCA009
Parent,2nd BCA (Ward: 25BCA009),Mr. Chandrasekhar,chandrasekhar.25bca009@gmail.com,Parent-25BCA009,Parent@25BCA009
Student,2nd BCA,D. Kaviya,kaviya.25bca010@college.edu,25BCA010,Pass@25BCA010
Parent,2nd BCA (Ward: 25BCA010),Mr. Krishnan,krishnan.25bca010@gmail.com,Parent-25BCA010,Parent@25BCA010
Student,2nd BCA,L. Deepak,deepak.25bca011@college.edu,25BCA011,Pass@25BCA011
Parent,2nd BCA (Ward: 25BCA011),Mr. Devarajan,devarajan.25bca011@gmail.com,Parent-25BCA011,Parent@25BCA011
Student,2nd BCA,H. Vaishnavi,vaishnavi.25bca012@college.edu,25BCA012,Pass@25BCA012
Parent,2nd BCA (Ward: 25BCA012),Mr. Venkatesan,venkatesan.25bca012@gmail.com,Parent-25BCA012,Parent@25BCA012
Student,2nd BCA,Y. Balaji,balaji.25bca013@college.edu,25BCA013,Pass@25BCA013
Parent,2nd BCA (Ward: 25BCA013),Mr. Baskar,baskar.25bca013@gmail.com,Parent-25BCA013,Parent@25BCA013
Student,2nd BCA,K. Menaka,menaka.25bca014@college.edu,25BCA014,Pass@25BCA014
Parent,2nd BCA (Ward: 25BCA014),Mr. Murugesan,murugesan.25bca014@gmail.com,Parent-25BCA014,Parent@25BCA014
Student,2nd BCA,S. Rajesh,rajesh.25bca015@college.edu,25BCA015,Pass@25BCA015
Parent,2nd BCA (Ward: 25BCA015),Mr. Ramasamy,ramasamy.25bca015@gmail.com,Parent-25BCA015,Parent@25BCA015
Student,2nd BCA,M. Roshini,roshini.25bca016@college.edu,25BCA016,Pass@25BCA016
Parent,2nd BCA (Ward: 25BCA016),Mr. Ranganathan,ranganathan.25bca016@gmail.com,Parent-25BCA016,Parent@25BCA016
Student,2nd BCA,R. Suresh,suresh.25bca017@college.edu,25BCA017,Pass@25BCA017
Parent,2nd BCA (Ward: 25BCA017),Mr. Subbarayan,subbarayan.25bca017@gmail.com,Parent-25BCA017,Parent@25BCA017
Student,2nd BCA,G. Bhuvaneshwari,bhuvaneshwari.25bca018@college.edu,25BCA018,Pass@25BCA018
Parent,2nd BCA (Ward: 25BCA018),Mr. Boopalan,boopalan.25bca018@gmail.com,Parent-25BCA018,Parent@25BCA018
Student,2nd BCA,T. Kishore,kishore.25bca019@college.edu,25BCA019,Pass@25BCA019
Parent,2nd BCA (Ward: 25BCA019),Mr. Kandasamy,kandasamy.25bca019@gmail.com,Parent-25BCA019,Parent@25BCA019
Student,2nd BCA,N. Preethi,preethi.25bca020@college.edu,25BCA020,Pass@25BCA020
Parent,2nd BCA (Ward: 25BCA020),Mr. Pandian,pandian.25bca020@gmail.com,Parent-25BCA020,Parent@25BCA020
Student,2nd BCA,B. Ajay,ajay.25bca021@college.edu,25BCA021,Pass@25BCA021
Parent,2nd BCA (Ward: 25BCA021),Mr. Aruldas,aruldas.25bca021@gmail.com,Parent-25BCA021,Parent@25BCA021
Student,2nd BCA,A. Archana,archana.25bca022@college.edu,25BCA022,Pass@25BCA022
Parent,2nd BCA (Ward: 25BCA022),Mr. Alagappan,alagappan.25bca022@gmail.com,Parent-25BCA022,Parent@25BCA022
Student,2nd BCA,V. Rahul,rahul.25bca023@college.edu,25BCA023,Pass@25BCA023
Parent,2nd BCA (Ward: 25BCA023),Mr. Ravi Shankar,ravi.25bca023@gmail.com,Parent-25BCA023,Parent@25BCA023
Student,2nd BCA,P. Shalini,shalini.25bca024@college.edu,25BCA024,Pass@25BCA024
Parent,2nd BCA (Ward: 25BCA024),Mr. Selvaraj,selvaraj.25bca024@gmail.com,Parent-25BCA024,Parent@25BCA024
Student,2nd BCA,J. Surya,surya.25bca025@college.edu,25BCA025,Pass@25BCA025
Parent,2nd BCA (Ward: 25BCA025),Mr. Saminathan,saminathan.25bca025@gmail.com,Parent-25BCA025,Parent@25BCA025
Student,2nd BCA,C. Mythili,mythili.25bca026@college.edu,25BCA026,Pass@25BCA026
Parent,2nd BCA (Ward: 25BCA026),Mr. Manoharan,manoharan.25bca026@gmail.com,Parent-25BCA026,Parent@25BCA026
Student,2nd BCA,E. Pradeep,pradeep.25bca027@college.edu,25BCA027,Pass@25BCA027
Parent,2nd BCA (Ward: 25BCA027),Mr. Perumal,perumal.25bca027@gmail.com,Parent-25BCA027,Parent@25BCA027
Student,2nd BCA,D. Anitha,anitha.25bca028@college.edu,25BCA028,Pass@25BCA028
Parent,2nd BCA (Ward: 25BCA028),Mr. Appasamy,appasamy.25bca028@gmail.com,Parent-25BCA028,Parent@25BCA028
Student,2nd BCA,L. Gopinath,gopinath.25bca029@college.edu,25BCA029,Pass@25BCA029
Parent,2nd BCA (Ward: 25BCA029),Mr. Gopalakrishnan,gopalakrishnan.25bca029@gmail.com,Parent-25BCA029,Parent@25BCA029
Student,2nd BCA,H. Nandhini,nandhini.25bca030@college.edu,25BCA030,Pass@25BCA030
Parent,2nd BCA (Ward: 25BCA030),Mr. Neelamegam,neelamegam.25bca030@gmail.com,Parent-25BCA030,Parent@25BCA030
Student,3rd BCA,N. Praveen,praveen.24bca001@college.edu,24BCA001,Pass@24BCA001
Parent,3rd BCA (Ward: 24BCA001),Mr. Palanivel,palanivel.24bca001@gmail.com,Parent-24BCA001,Parent@24BCA001
Student,3rd BCA,B. Ramya,ramya.24bca002@college.edu,24BCA002,Pass@24BCA002
Parent,3rd BCA (Ward: 24BCA002),Mr. Rajendran,rajendran.24bca002@gmail.com,Parent-24BCA002,Parent@24BCA002
Student,3rd BCA,A. Chandru,chandru.24bca003@college.edu,24BCA003,Pass@24BCA003
Parent,3rd BCA (Ward: 24BCA003),Mr. Chandrasekhar,chandrasekhar.24bca003@gmail.com,Parent-24BCA003,Parent@24BCA003
Student,3rd BCA,V. Kaviya,kaviya.24bca004@college.edu,24BCA004,Pass@24BCA004
Parent,3rd BCA (Ward: 24BCA004),Mr. Krishnan,krishnan.24bca004@gmail.com,Parent-24BCA004,Parent@24BCA004
Student,3rd BCA,P. Deepak,deepak.24bca005@college.edu,24BCA005,Pass@24BCA005
Parent,3rd BCA (Ward: 24BCA005),Mr. Devarajan,devarajan.24bca005@gmail.com,Parent-24BCA005,Parent@24BCA005
Student,3rd BCA,J. Vaishnavi,vaishnavi.24bca006@college.edu,24BCA006,Pass@24BCA006
Parent,3rd BCA (Ward: 24BCA006),Mr. Venkatesan,venkatesan.24bca006@gmail.com,Parent-24BCA006,Parent@24BCA006
Student,3rd BCA,C. Balaji,balaji.24bca007@college.edu,24BCA007,Pass@24BCA007
Parent,3rd BCA (Ward: 24BCA007),Mr. Baskar,baskar.24bca007@gmail.com,Parent-24BCA007,Parent@24BCA007
Student,3rd BCA,E. Menaka,menaka.24bca008@college.edu,24BCA008,Pass@24BCA008
Parent,3rd BCA (Ward: 24BCA008),Mr. Murugesan,murugesan.24bca008@gmail.com,Parent-24BCA008,Parent@24BCA008
Student,3rd BCA,D. Rajesh,rajesh.24bca009@college.edu,24BCA009,Pass@24BCA009
Parent,3rd BCA (Ward: 24BCA009),Mr. Ramasamy,ramasamy.24bca009@gmail.com,Parent-24BCA009,Parent@24BCA009
Student,3rd BCA,L. Roshini,roshini.24bca010@college.edu,24BCA010,Pass@24BCA010
Parent,3rd BCA (Ward: 24BCA010),Mr. Ranganathan,ranganathan.24bca010@gmail.com,Parent-24BCA010,Parent@24BCA010
Student,3rd BCA,H. Suresh,suresh.24bca011@college.edu,24BCA011,Pass@24BCA011
Parent,3rd BCA (Ward: 24BCA011),Mr. Subbarayan,subbarayan.24bca011@gmail.com,Parent-24BCA011,Parent@24BCA011
Student,3rd BCA,Y. Bhuvaneshwari,bhuvaneshwari.24bca012@college.edu,24BCA012,Pass@24BCA012
Parent,3rd BCA (Ward: 24BCA012),Mr. Boopalan,boopalan.24bca012@gmail.com,Parent-24BCA012,Parent@24BCA012
Student,3rd BCA,K. Kishore,kishore.24bca013@college.edu,24BCA013,Pass@24BCA013
Parent,3rd BCA (Ward: 24BCA013),Mr. Kandasamy,kandasamy.24bca013@gmail.com,Parent-24BCA013,Parent@24BCA013
Student,3rd BCA,S. Preethi,preethi.24bca014@college.edu,24BCA014,Pass@24BCA014
Parent,3rd BCA (Ward: 24BCA014),Mr. Pandian,pandian.24bca014@gmail.com,Parent-24BCA014,Parent@24BCA014
Student,3rd BCA,M. Ajay,ajay.24bca015@college.edu,24BCA015,Pass@24BCA015
Parent,3rd BCA (Ward: 24BCA015),Mr. Aruldas,aruldas.24bca015@gmail.com,Parent-24BCA015,Parent@24BCA015
Student,3rd BCA,R. Archana,archana.24bca016@college.edu,24BCA016,Pass@24BCA016
Parent,3rd BCA (Ward: 24BCA016),Mr. Alagappan,alagappan.24bca016@gmail.com,Parent-24BCA016,Parent@24BCA016
Student,3rd BCA,G. Rahul,rahul.24bca017@college.edu,24BCA017,Pass@24BCA017
Parent,3rd BCA (Ward: 24BCA017),Mr. Ravi Shankar,ravi.24bca017@gmail.com,Parent-24BCA017,Parent@24BCA017
Student,3rd BCA,T. Shalini,shalini.24bca018@college.edu,24BCA018,Pass@24BCA018
Parent,3rd BCA (Ward: 24BCA018),Mr. Selvaraj,selvaraj.24bca018@gmail.com,Parent-24BCA018,Parent@24BCA018
Student,3rd BCA,N. Surya,surya.24bca019@college.edu,24BCA019,Pass@24BCA019
Parent,3rd BCA (Ward: 24BCA019),Mr. Saminathan,saminathan.24bca019@gmail.com,Parent-24BCA019,Parent@24BCA019
Student,3rd BCA,B. Mythili,mythili.24bca020@college.edu,24BCA020,Pass@24BCA020
Parent,3rd BCA (Ward: 24BCA020),Mr. Manoharan,manoharan.24bca020@gmail.com,Parent-24BCA020,Parent@24BCA020
Student,3rd BCA,A. Pradeep,pradeep.24bca021@college.edu,24BCA021,Pass@24BCA021
Parent,3rd BCA (Ward: 24BCA021),Mr. Perumal,perumal.24bca021@gmail.com,Parent-24BCA021,Parent@24BCA021
Student,3rd BCA,V. Anitha,anitha.24bca022@college.edu,24BCA022,Pass@24BCA022
Parent,3rd BCA (Ward: 24BCA022),Mr. Appasamy,appasamy.24bca022@gmail.com,Parent-24BCA022,Parent@24BCA022
Student,3rd BCA,P. Gopinath,gopinath.24bca023@college.edu,24BCA023,Pass@24BCA023
Parent,3rd BCA (Ward: 24BCA023),Mr. Gopalakrishnan,gopalakrishnan.24bca023@gmail.com,Parent-24BCA023,Parent@24BCA023
Student,3rd BCA,J. Nandhini,nandhini.24bca024@college.edu,24BCA024,Pass@24BCA024
Parent,3rd BCA (Ward: 24BCA024),Mr. Neelamegam,neelamegam.24bca024@gmail.com,Parent-24BCA024,Parent@24BCA024
Student,3rd BCA,C. Saravanan,saravanan.24bca025@college.edu,24BCA025,Pass@24BCA025
Parent,3rd BCA (Ward: 24BCA025),Mr. Subramani,subramani.24bca025@gmail.com,Parent-24BCA025,Parent@24BCA025
Student,3rd BCA,E. Mahalakshmi,mahalakshmi.24bca026@college.edu,24BCA026,Pass@24BCA026
Parent,3rd BCA (Ward: 24BCA026),Mr. Madhavan,madhavan.24bca026@gmail.com,Parent-24BCA026,Parent@24BCA026
Student,3rd BCA,D. Madhan,madhan.24bca027@college.edu,24BCA027,Pass@24BCA027
Parent,3rd BCA (Ward: 24BCA027),Mr. Mathivanan,mathivanan.24bca027@gmail.com,Parent-24BCA027,Parent@24BCA027
Student,3rd BCA,L. Revathi,revathi.24bca028@college.edu,24BCA028,Pass@24BCA028
Parent,3rd BCA (Ward: 24BCA028),Mr. Ramalingam,ramalingam.24bca028@gmail.com,Parent-24BCA028,Parent@24BCA028
Student,3rd BCA,H. Vetrivel,vetrivel.24bca029@college.edu,24BCA029,Pass@24BCA029
Parent,3rd BCA (Ward: 24BCA029),Mr. Velu,velu.24bca029@gmail.com,Parent-24BCA029,Parent@24BCA029
Student,3rd BCA,Y. Priya Dharshini,priya.24bca030@college.edu,24BCA030,Pass@24BCA030
Parent,3rd BCA (Ward: 24BCA030),Mr. Sundaram,sundaram.24bca030@gmail.com,Parent-24BCA030,Parent@24BCA030
Student,1st B.Sc Computer Science,B. Balaji,balaji.26cs001@college.edu,26CS001,Pass@26CS001
Parent,1st B.Sc Computer Science (Ward: 26CS001),Mr. Baskar,baskar.26cs001@gmail.com,Parent-26CS001,Parent@26CS001
Student,1st B.Sc Computer Science,A. Menaka,menaka.26cs002@college.edu,26CS002,Pass@26CS002
Parent,1st B.Sc Computer Science (Ward: 26CS002),Mr. Murugesan,murugesan.26cs002@gmail.com,Parent-26CS002,Parent@26CS002
Student,1st B.Sc Computer Science,V. Rajesh,rajesh.26cs003@college.edu,26CS003,Pass@26CS003
Parent,1st B.Sc Computer Science (Ward: 26CS003),Mr. Ramasamy,ramasamy.26cs003@gmail.com,Parent-26CS003,Parent@26CS003
Student,1st B.Sc Computer Science,P. Roshini,roshini.26cs004@college.edu,26CS004,Pass@26CS004
Parent,1st B.Sc Computer Science (Ward: 26CS004),Mr. Ranganathan,ranganathan.26cs004@gmail.com,Parent-26CS004,Parent@26CS004
Student,1st B.Sc Computer Science,J. Suresh,suresh.26cs005@college.edu,26CS005,Pass@26CS005
Parent,1st B.Sc Computer Science (Ward: 26CS005),Mr. Subbarayan,subbarayan.26cs005@gmail.com,Parent-26CS005,Parent@26CS005
Student,1st B.Sc Computer Science,C. Bhuvaneshwari,bhuvaneshwari.26cs006@college.edu,26CS006,Pass@26CS006
Parent,1st B.Sc Computer Science (Ward: 26CS006),Mr. Boopalan,boopalan.26cs006@gmail.com,Parent-26CS006,Parent@26CS006
Student,1st B.Sc Computer Science,E. Kishore,kishore.26cs007@college.edu,26CS007,Pass@26CS007
Parent,1st B.Sc Computer Science (Ward: 26CS007),Mr. Kandasamy,kandasamy.26cs007@gmail.com,Parent-26CS007,Parent@26CS007
Student,1st B.Sc Computer Science,D. Preethi,preethi.26cs008@college.edu,26CS008,Pass@26CS008
Parent,1st B.Sc Computer Science (Ward: 26CS008),Mr. Pandian,pandian.26cs008@gmail.com,Parent-26CS008,Parent@26CS008
Student,1st B.Sc Computer Science,L. Ajay,ajay.26cs009@college.edu,26CS009,Pass@26CS009
Parent,1st B.Sc Computer Science (Ward: 26CS009),Mr. Aruldas,aruldas.26cs009@gmail.com,Parent-26CS009,Parent@26CS009
Student,1st B.Sc Computer Science,H. Archana,archana.26cs010@college.edu,26CS010,Pass@26CS010
Parent,1st B.Sc Computer Science (Ward: 26CS010),Mr. Alagappan,alagappan.26cs010@gmail.com,Parent-26CS010,Parent@26CS010
Student,1st B.Sc Computer Science,Y. Rahul,rahul.26cs011@college.edu,26CS011,Pass@26CS011
Parent,1st B.Sc Computer Science (Ward: 26CS011),Mr. Ravi Shankar,ravi.26cs011@gmail.com,Parent-26CS011,Parent@26CS011
Student,1st B.Sc Computer Science,K. Shalini,shalini.26cs012@college.edu,26CS012,Pass@26CS012
Parent,1st B.Sc Computer Science (Ward: 26CS012),Mr. Selvaraj,selvaraj.26cs012@gmail.com,Parent-26CS012,Parent@26CS012
Student,1st B.Sc Computer Science,S. Surya,surya.26cs013@college.edu,26CS013,Pass@26CS013
Parent,1st B.Sc Computer Science (Ward: 26CS013),Mr. Saminathan,saminathan.26cs013@gmail.com,Parent-26CS013,Parent@26CS013
Student,1st B.Sc Computer Science,M. Mythili,mythili.26cs014@college.edu,26CS014,Pass@26CS014
Parent,1st B.Sc Computer Science (Ward: 26CS014),Mr. Manoharan,manoharan.26cs014@gmail.com,Parent-26CS014,Parent@26CS014
Student,1st B.Sc Computer Science,R. Pradeep,pradeep.26cs015@college.edu,26CS015,Pass@26CS015
Parent,1st B.Sc Computer Science (Ward: 26CS015),Mr. Perumal,perumal.26cs015@gmail.com,Parent-26CS015,Parent@26CS015
Student,1st B.Sc Computer Science,G. Anitha,anitha.26cs016@college.edu,26CS016,Pass@26CS016
Parent,1st B.Sc Computer Science (Ward: 26CS016),Mr. Appasamy,appasamy.26cs016@gmail.com,Parent-26CS016,Parent@26CS016
Student,1st B.Sc Computer Science,T. Gopinath,gopinath.26cs017@college.edu,26CS017,Pass@26CS017
Parent,1st B.Sc Computer Science (Ward: 26CS017),Mr. Gopalakrishnan,gopalakrishnan.26cs017@gmail.com,Parent-26CS017,Parent@26CS017
Student,1st B.Sc Computer Science,N. Nandhini,nandhini.26cs018@college.edu,26CS018,Pass@26CS018
Parent,1st B.Sc Computer Science (Ward: 26CS018),Mr. Neelamegam,neelamegam.26cs018@gmail.com,Parent-26CS018,Parent@26CS018
Student,1st B.Sc Computer Science,B. Saravanan,saravanan.26cs019@college.edu,26CS019,Pass@26CS019
Parent,1st B.Sc Computer Science (Ward: 26CS019),Mr. Subramani,subramani.26cs019@gmail.com,Parent-26CS019,Parent@26CS019
Student,1st B.Sc Computer Science,A. Mahalakshmi,mahalakshmi.26cs020@college.edu,26CS020,Pass@26CS020
Parent,1st B.Sc Computer Science (Ward: 26CS020),Mr. Madhavan,madhavan.26cs020@gmail.com,Parent-26CS020,Parent@26CS020
Student,1st B.Sc Computer Science,V. Madhan,madhan.26cs021@college.edu,26CS021,Pass@26CS021
Parent,1st B.Sc Computer Science (Ward: 26CS021),Mr. Mathivanan,mathivanan.26cs021@gmail.com,Parent-26CS021,Parent@26CS021
Student,1st B.Sc Computer Science,P. Revathi,revathi.26cs022@college.edu,26CS022,Pass@26CS022
Parent,1st B.Sc Computer Science (Ward: 26CS022),Mr. Ramalingam,ramalingam.26cs022@gmail.com,Parent-26CS022,Parent@26CS022
Student,1st B.Sc Computer Science,J. Vetrivel,vetrivel.26cs023@college.edu,26CS023,Pass@26CS023
Parent,1st B.Sc Computer Science (Ward: 26CS023),Mr. Velu,velu.26cs023@gmail.com,Parent-26CS023,Parent@26CS023
Student,1st B.Sc Computer Science,C. Priya Dharshini,priya.26cs024@college.edu,26CS024,Pass@26CS024
Parent,1st B.Sc Computer Science (Ward: 26CS024),Mr. Sundaram,sundaram.26cs024@gmail.com,Parent-26CS024,Parent@26CS024
Student,1st B.Sc Computer Science,E. Arun Kumar,arun.26cs025@college.edu,26CS025,Pass@26CS025
Parent,1st B.Sc Computer Science (Ward: 26CS025),Mr. Ramesh Kumar,ramesh.26cs025@gmail.com,Parent-26CS025,Parent@26CS025
Student,1st B.Sc Computer Science,D. Kavitha,kavitha.26cs026@college.edu,26CS026,Pass@26CS026
Parent,1st B.Sc Computer Science (Ward: 26CS026),Mr. Radhakrishnan,radhakrishnan.26cs026@gmail.com,Parent-26CS026,Parent@26CS026
Student,1st B.Sc Computer Science,L. Vignesh,vignesh.26cs027@college.edu,26CS027,Pass@26CS027
Parent,1st B.Sc Computer Science (Ward: 26CS027),Mr. Mani,mani.26cs027@gmail.com,Parent-26CS027,Parent@26CS027
Student,1st B.Sc Computer Science,H. Ananya Sri,ananya.26cs028@college.edu,26CS028,Pass@26CS028
Parent,1st B.Sc Computer Science (Ward: 26CS028),Mr. Thangavel,thangavel.26cs028@gmail.com,Parent-26CS028,Parent@26CS028
Student,1st B.Sc Computer Science,Y. Dinesh Kumar,dinesh.26cs029@college.edu,26CS029,Pass@26CS029
Parent,1st B.Sc Computer Science (Ward: 26CS029),Mr. Ganesan,ganesan.26cs029@gmail.com,Parent-26CS029,Parent@26CS029
Student,1st B.Sc Computer Science,K. Divya Bharathi,divya.26cs030@college.edu,26CS030,Pass@26CS030
Parent,1st B.Sc Computer Science (Ward: 26CS030),Mr. Balan,balan.26cs030@gmail.com,Parent-26CS030,Parent@26CS030
Student,2nd B.Sc Computer Science,A. Kishore,kishore.25cs001@college.edu,25CS001,Pass@25CS001
Parent,2nd B.Sc Computer Science (Ward: 25CS001),Mr. Kandasamy,kandasamy.25cs001@gmail.com,Parent-25CS001,Parent@25CS001
Student,2nd B.Sc Computer Science,V. Preethi,preethi.25cs002@college.edu,25CS002,Pass@25CS002
Parent,2nd B.Sc Computer Science (Ward: 25CS002),Mr. Pandian,pandian.25cs002@gmail.com,Parent-25CS002,Parent@25CS002
Student,2nd B.Sc Computer Science,P. Ajay,ajay.25cs003@college.edu,25CS003,Pass@25CS003
Parent,2nd B.Sc Computer Science (Ward: 25CS003),Mr. Aruldas,aruldas.25cs003@gmail.com,Parent-25CS003,Parent@25CS003
Student,2nd B.Sc Computer Science,J. Archana,archana.25cs004@college.edu,25CS004,Pass@25CS004
Parent,2nd B.Sc Computer Science (Ward: 25CS004),Mr. Alagappan,alagappan.25cs004@gmail.com,Parent-25CS004,Parent@25CS004
Student,2nd B.Sc Computer Science,C. Rahul,rahul.25cs005@college.edu,25CS005,Pass@25CS005
Parent,2nd B.Sc Computer Science (Ward: 25CS005),Mr. Ravi Shankar,ravi.25cs005@gmail.com,Parent-25CS005,Parent@25CS005
Student,2nd B.Sc Computer Science,E. Shalini,shalini.25cs006@college.edu,25CS006,Pass@25CS006
Parent,2nd B.Sc Computer Science (Ward: 25CS006),Mr. Selvaraj,selvaraj.25cs006@gmail.com,Parent-25CS006,Parent@25CS006
Student,2nd B.Sc Computer Science,D. Surya,surya.25cs007@college.edu,25CS007,Pass@25CS007
Parent,2nd B.Sc Computer Science (Ward: 25CS007),Mr. Saminathan,saminathan.25cs007@gmail.com,Parent-25CS007,Parent@25CS007
Student,2nd B.Sc Computer Science,L. Mythili,mythili.25cs008@college.edu,25CS008,Pass@25CS008
Parent,2nd B.Sc Computer Science (Ward: 25CS008),Mr. Manoharan,manoharan.25cs008@gmail.com,Parent-25CS008,Parent@25CS008
Student,2nd B.Sc Computer Science,H. Pradeep,pradeep.25cs009@college.edu,25CS009,Pass@25CS009
